Cod.Articolo,Nome Prodotto,Categoria,Sottocategoria,Descrizione,Specifiche Tecniche,Conf.(pz),Box(pz),Bianco(_B),Nero(_N),Marrone(_M),Oro(_O),Argento(_A),Trasparente(_T),Nickelato(_NK),Grigio(_G)
011UP,Spina SALVASPAZIO 10A,Materiale Elettrico,Spina Elettrica,Spina salvaspazio 10A. Tecnopolimero alta resistenza. Norma CEI 23-50,Poli: 2P+T | Tensione: 250 Vac | Corrente: 10A | Norma: CEI 23-50,50,300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
012UP,Spina SALVASPAZIO 16A,Materiale Elettrico,Spina Elettrica,Spina salvaspazio 16A. Tecnopolimero alta resistenza. Norma CEI 23-50,Poli: 2P+T | Tensione: 250 Vac | Corrente: 16A | Norma: CEI 23-50,50,300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
021,Spina Elettrica 10A,Materiale Elettrico,Spina Elettrica,Spina elettrica 10A. Tecnopolimero alta resistenza. Norma CEI 23-50,Poli: 2P+T | Tensione: 250 Vac | Corrente: 10A | Norma: CEI 23-50,50,300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
021/ST,Spina Elettrica 10A /ST,Materiale Elettrico,Spina Elettrica,Spina elettrica 10A. Tecnopolimero alta densità. Norma CEI 23-50,Poli: 2P | Tensione: 250 Vac | Corrente: 10A | Norma: CEI 23-50,50,300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
011UP/ST,Spina SALVASPAZIO 10A,Materiale Elettrico,Spina Elettrica,Spina elettrica 10A . Tecnopolimero alta densità norma CEI 23-50,Poli: 2P | Tensione: 250 Vac | Corrente: 10A | Norma: CEI 23-50,50,300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
022,Presa Elettrica 10A,Materiale Elettrico,Presa Elettrica,Presa elettrica 10A con alveoli protetti. Norma CEI 23-50,Poli: 2P+T | Tensione: 250 Vac | Corrente: 10A | Alveoli: Protetti,50,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
031,Spina Elettrica 16A,Materiale Elettrico,Spina Elettrica,Spina elettrica 16A. Tecnopolimero alta resistenza. Norma CEI 23-50,Poli: 2P+T | Tensione: 250 Vac | Corrente: 16A | Norma: CEI 23-50,50,400,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
032,Presa Elettrica 10/16A BIPASSO,Materiale Elettrico,Presa Elettrica,Presa bipasso 10/16A con alveoli protetti. Compatibile spine 10A e 16A,Poli: 2P+T | Tensione: 250 Vac | Corrente: 10/16A | Alveoli: Protetti,50,300,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
051,Spina Schuko 16A,Materiale Elettrico,Spina Elettrica,Spina Schuko. Tecnopolimero alta resistenza. Norma CEI 23-50,Standard: Schuko | Tensione: 250 Vac | Corrente: 16A | Norma: CEI 23-50,50,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
062,Presa SCHUKO 16A BIPASSO,Materiale Elettrico,Presa Elettrica,Presa Schuko bipasso 16A. Alta resistenza e sicurezza. Norma CEI 23-50,Standard: Schuko | Tensione: 250 Vac | Corrente: 16A | Norma: CEI 23-50,50,300,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
081,Adattatore Triplo 16A ,Materiale Elettrico,Adattatore Triplo,Adattatore triplo 16A. Tre prese bivalenti 10/16A con alveoli protetti,Spina: 16A | Prese: 3× bivalenti 10/16A | Alveoli: Protetti | Tensione: 250 Vac,50,250,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
071,Adattatore Triplo 10A,Materiale Elettrico,Adattatore Triplo,Adattatore triplo 10A Tre prese 10 A con alveoli protetti,Spina: 10A | Prese: 3× bivalenti 10A | Alveoli: Protetti | Tensione: 250 Vac,50,250,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
094,Giunto Satellitare,Materiale TV,Connettore,Raccordo satellitare con attacco F femmina - femmina può congiungere due cavi di tipo satellitare con attacco maschio per prolungarlo ed estendere la trasmissione del segnale.,Tipologia: Raccordo Coassiale (Barilotto) | Connettori: 2 x F Femmina | Funzione: Giunto per estensione cavo | Segnale: Satellitare / Digitale Terrestre | Materiale: Metallo Nichelato,25,300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1001,Coperchio Cieco 503,Materiale Edile,Fissaggio,Coperchio Cieco per Scatola 503 con placca a vite ,Configurazione: 3 Posti | Materiale: ABS Tecnopolimero | Fissaggio: Con viti (incluse) | Funzione: Copertura e protezione scatole incasso,1,300,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1017,Adattatore Triplo Schuko 16A,Materiale Elettrico,Adattatore Triplo,"Adattatore triplo Schuko 16A: 2 prese bivalenti + 1 universale 10/16A, alveoli protetti",Spina: 2P+T 16A | Prese: 2 bival.+1 univ. | Alveoli: Protetti | Tensione: 250 Vac,50,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
